limit_balance,sex,marital_status,age,pay_0,pay_2,pay_3,pay_4,pay_5,pay_6,pay_amt_1,pay_amt_2,pay_amt_3,pay_amt_4,pay_amt_5,pay_amt_6,bill_amt_1,bill_amt_2,bill_amt_3,bill_amt_4,bill_amt_5,bill_amt_6,education_level,degree,default_payment_next_month
50000,1,2,39,0,0,0,0,0,0,1800,2000,3000,2000,2000,2000,47174,47974,48630,50803,30789,15874,1,graduate school,0
110000,2,2,29,0,0,0,0,0,0,2000,2010,3000,3000,3000,1000,48088,45980,44231,32489,26354,20221,1,graduate school,0
270000,1,2,36,0,0,0,2,0,0,10076,4018,14,2051,2000,0,78630,68921,46512,40335,37165,22156,1,graduate school,0
130000,1,1,45,0,0,0,0,0,0,2886,2908,2129,2354,2366,2291,58180,59134,61156,62377,63832,65099,1,graduate school,0
50000,1,2,24,0,0,0,0,0,0,1367,1606,692,709,721,692,42058,35340,22110,19837,19855,20151,1,graduate school,0
20000,1,2,29,0,0,2,0,0,0,3170,0,1000,1000,3000,0,14897,17512,16926,17368,17959,19023,1,graduate school,0
220000,1,2,38,0,0,0,0,0,0,7705,9656,7189,7404,7490,7517,209044,211453,217237,198681,202479,206221,1,graduate school,0
50000,1,1,42,0,0,0,0,0,0,1850,1507,1100,1200,1116,2900,49887,49515,38680,29664,29057,29083,1,graduate school,0
170000,1,1,41,0,0,0,0,0,0,3200,6000,5000,10000,10000,780,149941,68912,72741,76149,84474,92400,1,graduate school,0
50000,2,2,24,0,0,2,0,0,0,5350,0,1085,2000,1226,2415,52227,55264,52028,32140,32216,31482,1,graduate school,0
170000,2,2,27,0,0,0,0,0,0,2932,3000,2500,3000,2900,2918,97474,78520,80131,70788,68927,70678,2,university,0
120000,2,2,37,0,0,0,0,0,0,4848,4877,3625,3600,3751,3900,93822,96916,99051,99927,101541,103379,2,university,0
110000,2,2,52,0,0,0,0,0,0,1935,1971,1986,1653,1706,1714,38298,39295,40331,41346,42013,42890,2,university,0
20000,1,2,24,0,0,0,0,0,0,1300,1500,1600,600,600,700,6215,7252,8473,9769,10057,10346,2,university,1
230000,1,1,41,0,0,0,0,0,0,9405,7769,7757,8030,6549,5226,301038,305327,213058,216260,215968,174195,2,university,1
50000,1,1,42,0,0,0,0,0,2,2007,2000,1500,5400,0,3000,35892,32546,30660,31320,36227,35569,2,university,0
360000,2,2,34,0,0,0,0,0,0,8000,8000,8000,7766,7803,7971,205363,207315,211278,215020,218771,222172,2,university,0
60000,2,2,23,0,0,0,0,0,0,2400,1700,1403,1000,1000,1000,45995,44955,20264,20614,20877,21535,2,university,0
20000,2,2,25,0,0,0,0,0,0,1300,1613,1301,830,698,822,18825,18545,18606,18904,19433,18902,2,university,1
100000,2,1,29,0,0,0,0,0,0,5614,5600,5500,4500,5000,6000,118008,116686,113939,111079,107257,105377,2,university,0
